STATION,NAME,DATE,SNOW,PRCP,RAIN_OLD,RAIN
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/27/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/28/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/29/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/30/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",1/31/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/1/2019,0,0.51,Moderate Rain,Moderate Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/2/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/3/2019,0.6,0.06,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/4/2019,2.3,0.16,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/5/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/6/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/7/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/8/2019,1,0.32,Light Moderate Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/9/2019,2.6,0.16,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/10/2019,3,0.16,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/11/2019,1.9,0.74,Moderate Rain,Moderate Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/12/2019,0,0.44,Light Moderate Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/13/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/14/2019,0,0.19,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/15/2019,0,0.03,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/16/2019,0,0.45,Light Moderate Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/17/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/18/2019,0,0.01,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/19/2019,0,0.25,Light Moderate Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/20/2019,0,0.11,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/21/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/22/2019,0,0.18,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/23/2019,0,0.2,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/24/2019,0,0.01,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/25/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/26/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/27/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",2/28/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/1/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/2/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/3/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/4/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/5/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/6/2019,0,0.09,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/7/2019,0.1,0.22,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/8/2019,0,0.15,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/9/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/10/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/11/2019,0,0.21,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/12/2019,0,0.73,Moderate Rain,Moderate Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/13/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/14/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/15/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/16/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/17/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/18/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/19/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/20/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/21/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/22/2019,0,0.02,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/23/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/24/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/25/2019,0,0.15,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/26/2019,0,0.03,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/27/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/28/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/29/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/30/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",3/31/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/1/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/2/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/3/2019,0,0.04,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/4/2019,0,0.04,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/5/2019,0,0.33,Light Moderate Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/6/2019,0,0.26,Light Moderate Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/7/2019,0,0.23,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/8/2019,0,0.05,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/9/2019,0,0.14,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/10/2019,0,0.07,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/11/2019,0,0.27,Light Moderate Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/12/2019,0,0.09,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/13/2019,0,0.1,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/14/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/15/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/16/2019,0,0.11,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/17/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/18/2019,0,0.16,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/19/2019,0,0.2,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/20/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/21/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/22/2019,0,0.11,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/23/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/24/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/25/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/26/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/27/2019,0,0.01,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/28/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/29/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",4/30/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/1/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/2/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/3/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/4/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/5/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/6/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/7/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/8/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/9/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/10/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/11/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/12/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/13/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/14/2019,0,0.08,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/15/2019,0,0.08,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/16/2019,0,0.4,Light Moderate Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/17/2019,0,0.28,Light Moderate Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/18/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/19/2019,0,0.01,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/20/2019,0,0.32,Light Moderate Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/21/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/22/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/23/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/24/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/25/2019,0,0.28,Light Moderate Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/26/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/27/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/28/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/29/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/30/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",5/31/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/1/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/2/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/3/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/4/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/5/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/6/2019,0,0.05,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/7/2019,0,0.01,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/8/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/9/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/10/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/11/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/12/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/13/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/14/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/15/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/16/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/17/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/18/2019,0,0.01,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/19/2019,0,0.24,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/20/2019,0,0.35,Light Moderate Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/21/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/22/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/23/2019,0,0.02,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/24/2019,0,0.04,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/25/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/26/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/27/2019,0,0.06,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/28/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/29/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",6/30/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/1/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/2/2019,0,0.07,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/3/2019,0,0.09,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/4/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/5/2019,0,0.03,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/6/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/7/2019,0,0.22,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/8/2019,0,0.01,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/9/2019,0,0.14,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/10/2019,0,0.24,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/11/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/12/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/13/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/14/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/15/2019,0,0.02,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/16/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/17/2019,0,0.14,Light Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/18/2019,0,0.42,Light Moderate Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/19/2019,0,0.07,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/20/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/21/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/22/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/23/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/24/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/25/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/26/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/27/2019,0,0.05,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/28/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/29/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/30/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",7/31/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/1/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/2/2019,0,0.26,Light Moderate Rain,Light Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/3/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/4/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/5/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/6/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/7/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/8/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/9/2019,0,0,No Rain,No Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/10/2019,0,0.68,Moderate Rain,Moderate Rain
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/11/2019,0,0.02,Drizzle,Drizzle
USW00094290,"SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US",8/12/2019,0,0,No Rain,No Rain
